time,epoch,split,metric,value
2026-05-20T16:49:28,0,vald,jtr,0.06052843776020237
2026-05-20T16:49:28,0,vald,loss_kl,0.11705665077236024
2026-05-20T16:49:28,0,vald,loss_total,0.4085795318160392
2026-05-20T16:49:28,0,vald,matrot,0.23002821490746989
2026-05-20T16:49:28,0,vald,torque_proxy,0.0009662280414202259
2026-05-20T16:49:28,0,train,jtr,0.07802732503437947
2026-05-20T16:49:28,0,train,loss_kl,0.12002647874469893
2026-05-20T16:49:28,0,train,loss_total,0.4848645610930867
2026-05-20T16:49:28,0,train,matrot,0.2857999318049241
2026-05-20T16:49:28,0,train,torque_proxy,0.0010108256559931842
2026-05-20T17:11:28,1,vald,jtr,0.055196781830376705
2026-05-20T17:11:28,1,vald,loss_kl,0.11869672591524291
2026-05-20T17:11:28,1,vald,loss_total,0.3932100604331317
2026-05-20T17:11:28,1,vald,matrot,0.218371598287563
2026-05-20T17:11:28,1,vald,torque_proxy,0.0009449546869055867
2026-05-20T17:11:28,1,train,jtr,0.06564119521746493
2026-05-20T17:11:28,1,train,loss_kl,0.12480226225290404
2026-05-20T17:11:28,1,train,loss_total,0.4353397850858277
2026-05-20T17:11:28,1,train,matrot,0.24394687629855788
2026-05-20T17:11:28,1,train,torque_proxy,0.0009494512315036073
2026-05-20T17:33:11,2,vald,jtr,0.05979526284548442
2026-05-20T17:33:11,2,vald,loss_kl,0.11578286494612143
2026-05-20T17:33:11,2,vald,loss_total,0.4002732677994616
2026-05-20T17:33:11,2,vald,matrot,0.22372923268077555
2026-05-20T17:33:11,2,vald,torque_proxy,0.0009659075582297321
2026-05-20T17:33:11,2,train,jtr,0.07095565848226583
2026-05-20T17:33:11,2,train,loss_kl,0.11626167559969917
2026-05-20T17:33:11,2,train,loss_total,0.44400208378845735
2026-05-20T17:33:11,2,train,matrot,0.2558179373013129
2026-05-20T17:33:11,2,train,torque_proxy,0.0009668124437180957
2026-05-20T17:53:45,3,vald,jtr,0.05601559941744683
2026-05-20T17:53:45,3,vald,loss_kl,0.11392386230965473
2026-05-20T17:53:45,3,vald,loss_total,0.39176290031942557
2026-05-20T17:53:45,3,vald,matrot,0.22086815564254517
2026-05-20T17:53:45,3,vald,torque_proxy,0.0009552828040310309
2026-05-20T17:53:45,3,train,jtr,0.06473197846854946
2026-05-20T17:53:45,3,train,loss_kl,0.11985235986020341
2026-05-20T17:53:45,3,train,loss_total,0.42749476089657756
2026-05-20T17:53:45,3,train,matrot,0.24195823579697018
2026-05-20T17:53:45,3,train,torque_proxy,0.0009521864775523498
2026-05-20T18:14:20,4,vald,jtr,0.05418446339329433
2026-05-20T18:14:20,4,vald,loss_kl,0.11387128499465651
2026-05-20T18:14:20,4,vald,loss_total,0.3867644304736705
2026-05-20T18:14:20,4,vald,matrot,0.21775628572636302
2026-05-20T18:14:20,4,vald,torque_proxy,0.0009523969079248281
2026-05-20T18:14:20,4,train,jtr,0.0616897257040955
2026-05-20T18:14:20,4,train,loss_kl,0.12121341334276475
2026-05-20T18:14:20,4,train,loss_total,0.4176593639340181
2026-05-20T18:14:20,4,train,matrot,0.23381304391978697
2026-05-20T18:14:20,4,train,torque_proxy,0.0009431809178519551
2026-05-20T18:34:54,5,vald,jtr,0.05366861530495274
2026-05-20T18:34:54,5,vald,loss_kl,0.11504694753689709
2026-05-20T18:34:54,5,vald,loss_total,0.38375589097273327
2026-05-20T18:34:54,5,vald,matrot,0.21409110398532724
2026-05-20T18:34:54,5,vald,torque_proxy,0.0009492244067173748
2026-05-20T18:34:54,5,train,jtr,0.059941578785222605
2026-05-20T18:34:54,5,train,loss_kl,0.12210996624384923
2026-05-20T18:34:54,5,train,loss_total,0.41062041687099243
2026-05-20T18:34:54,5,train,matrot,0.22763260499942803
2026-05-20T18:34:54,5,train,torque_proxy,0.0009362666676691901
2026-05-20T18:55:30,6,vald,jtr,0.053893289544280486
2026-05-20T18:55:30,6,vald,loss_kl,0.11518969705806918
2026-05-20T18:55:30,6,vald,loss_total,0.3831008433565745
2026-05-20T18:55:30,6,vald,matrot,0.2130776140046979
2026-05-20T18:55:30,6,vald,torque_proxy,0.0009402427276856371
2026-05-20T18:55:31,6,train,jtr,0.05891222850886368
2026-05-20T18:55:31,6,train,loss_kl,0.12253619361681649
2026-05-20T18:55:31,6,train,loss_total,0.4065733356985916
2026-05-20T18:55:31,6,train,matrot,0.2241918093130666
2026-05-20T18:55:31,6,train,torque_proxy,0.0009331044004824709
2026-05-20T19:16:06,7,vald,jtr,0.05303334296541547
2026-05-20T19:16:06,7,vald,loss_kl,0.11434771578635008
2026-05-20T19:16:06,7,vald,loss_total,0.38141468359422553
2026-05-20T19:16:06,7,vald,matrot,0.21308111696540208
2026-05-20T19:16:06,7,vald,torque_proxy,0.0009525077555655367
2026-05-20T19:16:06,7,train,jtr,0.05819154897617271
2026-05-20T19:16:06,7,train,loss_kl,0.122901641060531
2026-05-20T19:16:06,7,train,loss_total,0.4037649213377132
2026-05-20T19:16:06,7,train,matrot,0.22173963094564408
2026-05-20T19:16:06,7,train,torque_proxy,0.0009321002803664883
2026-05-20T19:36:40,8,vald,jtr,0.05223170277109979
2026-05-20T19:36:40,8,vald,loss_kl,0.11498344951961706
2026-05-20T19:36:40,8,vald,loss_total,0.3797361156567518
2026-05-20T19:36:40,8,vald,matrot,0.21157216423926203
2026-05-20T19:36:40,8,vald,torque_proxy,0.0009487990085352423
2026-05-20T19:36:40,8,train,jtr,0.057652067890479296
2026-05-20T19:36:40,8,train,loss_kl,0.12310979433348439
2026-05-20T19:36:40,8,train,loss_total,0.40164457933986386
2026-05-20T19:36:40,8,train,matrot,0.21995123578110676
2026-05-20T19:36:40,8,train,torque_proxy,0.0009314812286911778
2026-05-20T19:57:15,9,vald,jtr,0.052100278054107524
2026-05-20T19:57:15,9,vald,loss_kl,0.11534839918984999
2026-05-20T19:57:15,9,vald,loss_total,0.37853396639861375
2026-05-20T19:57:15,9,vald,matrot,0.2101414229087325
2026-05-20T19:57:15,9,vald,torque_proxy,0.0009438658547031439
2026-05-20T19:57:15,9,train,jtr,0.05725677058811215
2026-05-20T19:57:15,9,train,loss_kl,0.12330763155371682
2026-05-20T19:57:15,9,train,loss_total,0.4000033236838676
2026-05-20T19:57:15,9,train,matrot,0.2185069409692313
2026-05-20T19:57:15,9,train,torque_proxy,0.0009319805986006685
2026-05-20T20:17:51,10,vald,jtr,0.05168331483148328
2026-05-20T20:17:51,10,vald,loss_kl,0.11679907004192279
2026-05-20T20:17:51,10,vald,loss_total,0.37731324051560183
